tax_id	NZ	order	phylum	genus	family	species	class
1412598	NZ_CP007355.2	Enterobacterales	Proteobacteria	Salmonella	Enterobacteriaceae	Salmonella enterica	Gammaproteobacteria
550537	NC_011294.1	Enterobacterales	Proteobacteria	Salmonella	Enterobacteriaceae	Salmonella enterica	Gammaproteobacteria
32022	NZ_CP020045.1	Campylobacterales	Proteobacteria	Campylobacter	Campylobacteraceae	Campylobacter jejuni	Epsilonproteobacteria
1247726	NZ_CP003915.1	Burkholderiales	Proteobacteria	Advenella	Alcaligenaceae	Advenella mimigardefordensis	Betaproteobacteria
1247726	NZ_CP003916.1	Burkholderiales	Proteobacteria	Advenella	Alcaligenaceae	Advenella mimigardefordensis	Betaproteobacteria
203907	NC_005061.1	Enterobacterales	Proteobacteria	Candidatus Blochmannia	Enterobacteriaceae	Candidatus Blochmannia floridanus	Gammaproteobacteria
360116	NZ_CP018150.1	Legionellales	Proteobacteria	Coxiella	Coxiellaceae	Coxiella burnetii	Gammaproteobacteria
360116	NC_010258.1	Legionellales	Proteobacteria	Coxiella	Coxiellaceae	Coxiella burnetii	Gammaproteobacteria
1239783	NZ_CP011802.1	Bacillales	Firmicutes	Bacillus	Bacillaceae	Bacillus atrophaeus	Bacilli
1291379	NC_022097.1	Spirochaetales	Spirochaetes	Treponema	Spirochaetaceae	Treponema pedis	Spirochaetia
562	NZ_CP011113.2	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
485	NZ_CP034017.1	Neisseriales	Proteobacteria	Neisseria	Neisseriaceae	Neisseria gonorrhoeae	Betaproteobacteria
485	NZ_CP034016.1	Neisseriales	Proteobacteria	Neisseria	Neisseriaceae	Neisseria gonorrhoeae	Betaproteobacteria
1280	NZ_LS483350.1	Bacillales	Firmicutes	Staphylococcus	Staphylococcaceae	Staphylococcus aureus	Bacilli
2233851	NZ_AP018907.1	Rhizobiales	Proteobacteria	Blastochloris	Hyphomicrobiaceae	Blastochloris sp. GI	Alphaproteobacteria
338217	NZ_CP033440.1	unclassified	Spirochaetes	Leptospira	Leptospiraceae	Leptospira borgpetersenii	Spirochaetia
338217	NZ_CP033441.1	unclassified	Spirochaetes	Leptospira	Leptospiraceae	Leptospira borgpetersenii	Spirochaetia
