tax_id	NZ	order	phylum	genus	family	species	class
767462	NC_017468.1	Lactobacillales	Firmicutes	Lactobacillus	Lactobacillaceae	Lactobacillus helveticus	Bacilli
29461	NZ_CP016981.1	Rhizobiales	Proteobacteria	Brucella	Brucellaceae	Brucella suis	Alphaproteobacteria
29461	NZ_CP016982.1	Rhizobiales	Proteobacteria	Brucella	Brucellaceae	Brucella suis	Alphaproteobacteria
1185653	NZ_CP016534.2	Bacillales	Firmicutes	Planococcus	Planococcaceae	Planococcus antarcticus	Bacilli
1185653	NZ_CP016535.2	Bacillales	Firmicutes	Planococcus	Planococcaceae	Planococcus antarcticus	Bacilli
1185653	NZ_CP016536.1	Bacillales	Firmicutes	Planococcus	Planococcaceae	Planococcus antarcticus	Bacilli
543736	NZ_CP003949.1	Corynebacteriales	Actinobacteria	Rhodococcus	Nocardiaceae	Rhodococcus opacus	Actinobacteria
543736	NZ_CP003950.1	Corynebacteriales	Actinobacteria	Rhodococcus	Nocardiaceae	Rhodococcus opacus	Actinobacteria
543736	NZ_CP003951.1	Corynebacteriales	Actinobacteria	Rhodococcus	Nocardiaceae	Rhodococcus opacus	Actinobacteria
543736	NZ_CP003952.1	Corynebacteriales	Actinobacteria	Rhodococcus	Nocardiaceae	Rhodococcus opacus	Actinobacteria
543736	NZ_CP003953.1	Corynebacteriales	Actinobacteria	Rhodococcus	Nocardiaceae	Rhodococcus opacus	Actinobacteria
543736	NZ_CP003954.1	Corynebacteriales	Actinobacteria	Rhodococcus	Nocardiaceae	Rhodococcus opacus	Actinobacteria
543736	NZ_CP003955.1	Corynebacteriales	Actinobacteria	Rhodococcus	Nocardiaceae	Rhodococcus opacus	Actinobacteria
543736	NZ_CP003956.1	Corynebacteriales	Actinobacteria	Rhodococcus	Nocardiaceae	Rhodococcus opacus	Actinobacteria
543736	NZ_CP003957.1	Corynebacteriales	Actinobacteria	Rhodococcus	Nocardiaceae	Rhodococcus opacus	Actinobacteria
543736	NZ_CP003958.1	Corynebacteriales	Actinobacteria	Rhodococcus	Nocardiaceae	Rhodococcus opacus	Actinobacteria
216816	NZ_CP013673.1	Bifidobacteriales	Actinobacteria	Bifidobacterium	Bifidobacteriaceae	Bifidobacterium longum	Actinobacteria
1773	NZ_CP018302.1	Corynebacteriales	Actinobacteria	Mycobacterium	Mycobacteriaceae	Mycobacterium tuberculosis	Actinobacteria
562	NZ_LR134227.1	Enterobacterales	Proteobacteria	Escherichia	Enterobacteriaceae	Escherichia coli	Gammaproteobacteria
1246626	NZ_CP003923.1	Bacillales	Firmicutes	Bacillus	Bacillaceae	Bacillus lehensis	Bacilli
164546	NZ_LT976853.1	Burkholderiales	Proteobacteria	Cupriavidus	Burkholderiaceae	Cupriavidus taiwanensis	Betaproteobacteria
164546	NZ_LT976854.1	Burkholderiales	Proteobacteria	Cupriavidus	Burkholderiaceae	Cupriavidus taiwanensis	Betaproteobacteria
164546	NZ_LT976855.1	Burkholderiales	Proteobacteria	Cupriavidus	Burkholderiaceae	Cupriavidus taiwanensis	Betaproteobacteria
164546	NZ_OFSQ01000041.1	Burkholderiales	Proteobacteria	Cupriavidus	Burkholderiaceae	Cupriavidus taiwanensis	Betaproteobacteria
164546	NZ_OFSQ01000042.1	Burkholderiales	Proteobacteria	Cupriavidus	Burkholderiaceae	Cupriavidus taiwanensis	Betaproteobacteria
164546	NZ_OFSQ01000043.1	Burkholderiales	Proteobacteria	Cupriavidus	Burkholderiaceae	Cupriavidus taiwanensis	Betaproteobacteria
164546	NZ_OFSQ01000044.1	Burkholderiales	Proteobacteria	Cupriavidus	Burkholderiaceae	Cupriavidus taiwanensis	Betaproteobacteria
305	NZ_CP034194.1	Burkholderiales	Proteobacteria	Ralstonia	Burkholderiaceae	Ralstonia solanacearum	Betaproteobacteria
243233	NC_002977.6	Methylococcales	Proteobacteria	Methylococcus	Methylococcaceae	Methylococcus capsulatus	Gammaproteobacteria
1719	NZ_CP015191.1	Corynebacteriales	Actinobacteria	Corynebacterium	Corynebacteriaceae	Corynebacterium pseudotuberculosis	Actinobacteria
204722	NC_004310.3	Rhizobiales	Proteobacteria	Brucella	Brucellaceae	Brucella suis	Alphaproteobacteria
204722	NC_004311.2	Rhizobiales	Proteobacteria	Brucella	Brucellaceae	Brucella suis	Alphaproteobacteria
813	NZ_CP017740.1	Chlamydiales	Chlamydiae	Chlamydia	Chlamydiaceae	Chlamydia trachomatis	Chlamydiia
573	NZ_CP024874.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella pneumoniae	Gammaproteobacteria
573	NZ_CP024875.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella pneumoniae	Gammaproteobacteria
573	NZ_CP024876.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella pneumoniae	Gammaproteobacteria
573	NZ_CP024877.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella pneumoniae	Gammaproteobacteria
573	NZ_CP024878.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella pneumoniae	Gammaproteobacteria
573	NZ_CP024879.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella pneumoniae	Gammaproteobacteria
1597	NC_014334.2	Lactobacillales	Firmicutes	Lactobacillus	Lactobacillaceae	Lactobacillus paracasei	Bacilli
1597	NC_011352.1	Lactobacillales	Firmicutes	Lactobacillus	Lactobacillaceae	Lactobacillus paracasei	Bacilli
287	NZ_CP012579.1	Pseudomonadales	Proteobacteria	Pseudomonas	Pseudomonadaceae	Pseudomonas aeruginosa	Gammaproteobacteria
470	NZ_CP035186.1	Pseudomonadales	Proteobacteria	Acinetobacter	Moraxellaceae	Acinetobacter baumannii	Gammaproteobacteria
1189310	NZ_CP022203.1	Myxococcales	Proteobacteria	Myxococcus	Myxococcaceae	Myxococcus macrosporus	Deltaproteobacteria
1642646	NZ_LT608328.1	Bacteroidales	Bacteroidetes	Petrimonas	Porphyromonadaceae	Petrimonas mucosa	Bacteroidia
95485	NZ_LR025742.1	Burkholderiales	Proteobacteria	Burkholderia	Burkholderiaceae	Burkholderia stabilis	Betaproteobacteria
95485	NZ_LR025743.1	Burkholderiales	Proteobacteria	Burkholderia	Burkholderiaceae	Burkholderia stabilis	Betaproteobacteria
95485	NZ_LR025744.1	Burkholderiales	Proteobacteria	Burkholderia	Burkholderiaceae	Burkholderia stabilis	Betaproteobacteria
95485	NZ_LR025745.1	Burkholderiales	Proteobacteria	Burkholderia	Burkholderiaceae	Burkholderia stabilis	Betaproteobacteria
240016	NZ_ABIZ01000001.1	Verrucomicrobiales	Verrucomicrobia	Verrucomicrobium	Verrucomicrobiaceae	Verrucomicrobium spinosum	Verrucomicrobiae
134821	NZ_CP021987.1	Mycoplasmatales	Tenericutes	Ureaplasma	Mycoplasmataceae	Ureaplasma parvum	Mollicutes
2026240	NZ_CP022823.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella quasivariicola	Gammaproteobacteria
2026240	NZ_CP022824.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella quasivariicola	Gammaproteobacteria
2026240	NZ_CP022825.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella quasivariicola	Gammaproteobacteria
2026240	NZ_CP022826.1	Enterobacterales	Proteobacteria	Klebsiella	Enterobacteriaceae	Klebsiella quasivariicola	Gammaproteobacteria
1541959	NZ_CP009415.1	unclassified	Tenericutes	Candidatus Izimaplasma	unclassified	Candidatus Izimaplasma sp. HR1	unclassified
2005468	NZ_AP018202.1	Synechococcales	Cyanobacteria	Thermosynechococcus	Synechococcaceae	Thermosynechococcus vulcanus	unclassified
47917	NZ_CP023956.1	Enterobacterales	Proteobacteria	Serratia	Yersiniaceae	Serratia fonticola	Gammaproteobacteria
29459	NZ_CP018562.1	Rhizobiales	Proteobacteria	Brucella	Brucellaceae	Brucella melitensis	Alphaproteobacteria
29459	NZ_CP018563.1	Rhizobiales	Proteobacteria	Brucella	Brucellaceae	Brucella melitensis	Alphaproteobacteria
