Cohort,AAC(3),AAC(6'),AAC(6');APH(2''),ABC-F ATP-binding cassette ribosomal protection protein,ACC beta-lactamase,ACI beta-lactamase,ACT beta-lactamase,ADC beta-lactamase without carbapenemase activity,ANT(2''),ANT(3''),ANT(4'),ANT(6),APH(2''),APH(3''),APH(3'),APH(6),ATP-binding cassette (ABC) antibiotic efflux pump,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,BUT beta-lactamase,CMY beta-lactamase,CTX-M beta-lactamase,CblA beta-lactamase,CfxA beta-lactamase,DHA beta-lactamase,Erm 23S ribosomal RNA methyltransferase,General Bacterial Porin with reduced permeability to beta-lactams,General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump,HERA beta-lactamase,L1 family beta-lactamase,LEN beta-lactamase,MCR phosphoethanolamine transferase,MIR beta-lactamase,MOX beta-lactamase,NDM beta-lactamase,OKP beta-lactamase,OXA beta-lactamase,OXY beta-lactamase,PDC beta-lactamase,SHV beta-lactamase,SRT beta-lactamase,TEM beta-lactamase,aminocoumarin resistant parY,ampC-type beta-lactamase,antibiotic resistant isoleucyl-tRNA synthetase (ileS),blaZ beta-lactamase,cepA beta-lactamase,chloramphenicol acetyltransferase (CAT),ciprofloxacin phosphotransferase,defensin resistant mprF,fosfomycin thiol transferase,fusidic acid inactivation enzyme,glycopeptide resistance gene cluster;van ligase,glycopeptide resistance gene cluster;vanH,glycopeptide resistance gene cluster;vanR,glycopeptide resistance gene cluster;vanS,glycopeptide resistance gene cluster;vanT,glycopeptide resistance gene cluster;vanX,glycopeptide resistance gene cluster;vanXY,kdpDE,lincosamide nucleotidyltransferase (LNU),macrolide phosphotransferase (MPH),major facilitator superfamily (MFS) antibiotic efflux pump,major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,methicillin resistant PBP2,multidrug and toxic compound extrusion (MATE) transporter,non-erm 23S ribosomal RNA methyltransferase (G748),pmr phosphoethanolamine transferase,quinolone resistance protein (qnr),resistance-nodulation-cell division (RND) antibiotic efflux pump,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),small multidrug resistance (SMR) antibiotic efflux pump,streptothricin acetyltransferase (SAT),sulfonamide resistant sul,tetracycline-resistant ribosomal protection protein,trimethoprim resistant dihydrofolate reductase dfr,undecaprenyl pyrophosphate related proteins
Antibiotic,0.0,0.0,4.925142764662277,19.255217744349707,0.0,0.0,0.0,0.0,0.0,0.0,8.546614220221295,0.0,0.0,0.0,0.0,0.0,0.0,13.744910497097305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.858486480371429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.667828125501016,10.737888628984203,0.0,0.0,0.0,0.0,0.0,10.19173714524042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.801945400088078,24.30402914189887,0.0,22.121084257396976,0.0,0.0,0.0,0.0,17.643228212320572,0.0,0.0,0.0,0.0,0.0,26.510381761283885,0.0
Control,0.0,0.0,0.0,11.819659207436494,0.0,0.0,2.421547448684485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.11495180207718,9.685730281684004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.221032548863022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7712499005370961,0.0,0.9646434274516388,0.3632705980452025,5.274504865467548,0.0,0.0,0.0,0.0,1.5810622961010468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.754361624606641,28.58358394798865,0.0,5.1237097059979675,9.783434744379575,0.0,0.0,0.0,2.5825057299426972,0.0,0.0,0.0,0.0,6.725049932222621,25.33406548967013,0.8078420491027247
Control,0.0,0.0,0.9605754428613128,4.014796720837853,0.0,0.0,0.0,0.0,0.0,0.0,0.8936327702757085,0.0,0.0,0.0,0.0,0.0,5.548055631471293,12.62930789294757,0.0,0.0,0.0,0.0,0.0,0.2736164122168491,0.0,26.98716942463869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2768797351231874,7.776537191606321,0.0,0.0,0.0,4.060103396075475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.528244590519211,0.29368161577941804,42.97058356365066,0.0,7.113102147679712,17.87730752413818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.478259400920288,5.703844751366428,0.0
Control,0.0,0.0,0.0,16.102328815813156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.126267977819825,8.809647085245965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.871760930195222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6149921657860022,3.4323107454135853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.346753280644926,28.026261846527916,0.0,9.145943577592854,16.648189530303753,0.0,0.0,0.0,0.0,0.4662943669057895,0.0,0.0,0.0,7.190327085582313,26.404682084069314,0.0
Antibiotic,0.0,0.0,0.35570533762394313,19.159777910934814,0.0,0.0,3.8142604155044824,0.0,0.0,0.0,3.675339893849482,0.0,0.0,0.6370841867891519,0.0,0.6119661722562463,14.358625597387967,6.307677925930867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625728544380677,0.0,1.3659084964759416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1947948791358893,5.3591476571973615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7234684833029352,0.0,0.0,0.0,0.0,0.0,0.0,7.861215856722794,15.912756787729391,1.2372359569528455,5.667829650003098,7.553960012091425,0.0,0.0,0.0,7.889281919603951,0.0,0.0,0.0,0.0,5.684545603161682,24.865680447139834,0.0
Antibiotic,0.0,0.0,3.2878526482255785,5.783370647944982,0.0,0.0,0.0,0.0,0.0,0.0,5.692155630808894,12.565484748081607,0.0,0.0,13.42439734222667,2.474674516036928,0.0,14.150633700523644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.51761673353612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3676902838691307,0.0,5.4620508606034885,6.847507042378121,0.0,0.0,0.0,0.0,0.0,4.499317569363869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.252915851821827,33.343126660112546,0.0,8.263970447376204,2.793295028263812,0.0,0.0,0.0,1.734759271292218,3.1457543058844553,0.0,12.779012723193972,0.0,0.0,28.93060384651825,0.0
Control,0.0,8.120847031098661,0.0,17.93315328142095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.53874236840948,8.192688146471946,0.0,0.0,0.0,0.0,0.0,1.5940180463476328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7223264853378524,0.0,0.0,1.8201198968933965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.020397636250884,0.0,4.397198017864508,4.693640410807718,0.0,0.0,0.0,0.0,1.80941770021284,0.0,0.0,0.0,0.0,20.80782691702001,0.0
Control,0.0,0.0,1.2777104081797297,13.831187292138562,0.0,0.0,33.54914434954454,0.0,0.0,0.0,7.9909209283175615,0.0,0.0,0.0,1.5035262349892151,0.0,3.251890059741765,8.235189326070273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1361974542101825,2.0300972101445383,4.791414030673986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3820122147055045,6.2777665986046625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7629843020891245,0.0,8.360993873931916,40.03512464282593,7.554501758029133,6.3506520113510465,0.8814921510445621,0.0,0.0,0.0,29.102226813256287,0.8592735090952246,0.0,0.0,0.0,1.5808366378100192,13.137166644113279,2.238324802650621
Control,0.0,0.0,0.0,8.099575903840002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.220115488500168,0.0,0.0,8.762264725446954,0.0,10.570848394062402,4.181916238092474,0.4087594322653341,0.0,0.0,0.0,0.0,0.0,0.0,9.849699439019144,0.5406524757429486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2879896000051217,0.0,4.082790343907651,1.2231300591197152,0.0,0.9386327703870636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.678974436548643,7.69570787995597,0.0,1.662598657175757,5.479965379612219,0.0,1.1951542160453839,0.0,5.024954136564447,3.244599339619598,0.0,10.324922248055511,0.0,3.560565825781494,16.305652879975725,0.0
Control,0.0,0.38886890944334,0.977076487102666,11.494430776628791,0.0,0.0,0.0,0.0,0.0,0.0,0.4011167491108468,0.0,0.0,0.0,0.0,0.0,13.636100661493234,7.4711107336360225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.395849517989134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4540518780567535,0.0,0.9219481319405076,5.325347228932621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4317103994667588,0.0,0.0,0.0,0.0,0.0,0.0,6.281146761773149,17.896193255163105,0.0,6.0121155584860055,8.811879662724648,0.0,0.0,0.0,0.09930180728475156,1.2605839680337891,0.0,0.0,1.3383921189805912,10.283335284780918,25.770722837595926,0.0
