ARO:3000498ErmF,ARO:3003559cepA,ARO:3003318Streptomyces,ARO:3003730Bifidobacteria,ARO:3001214mdtM,ARO:3002868dfrG,ARO:3003318Streptomyces,ARO:3003730Bifidobacteria,ARO:3002062CMY-51,ARO:3002069CMY-59,ARO:3002079CMY-66,ARO:3002080CMY-67,ARO:3003773Clostridium,ARO:3000179tet(L),ARO:3000195tetB(P),ARO:3002175MIR-10,ARO:3004042Enterobacter,ARO:3002804FosA2,ARO:3003171ACT-36,ARO:3004042Enterobacter,ARO:3000616mel,ARO:3002438OKP-B-5,ARO:3002875dfrE,ARO:3003551emeA,ARO:3003949efrB,ARO:3004089ANT(3'')-IIa,ARO:3002556AAC(6')-Ii,ARO:3002819msrC,ARO:3000191tetQ,ARO:3000832evgA,ARO:3004039Escherichia,ARO:3002174MIR-9,ARO:3003548mdtN,ARO:3000024patA,ARO:3002985arnA,ARO:3003209FosA5,ARO:3000823ramA,ARO:3002399OXY-2-4,ARO:3001327mdtK,ARO:3002412OXY-5-2,ARO:3002415OXY-6-3,ARO:3002641APH(3')-Ia,ARO:3003056smeE,ARO:3004041Klebsiella,ARO:3004580Klebsiella,ARO:3004583Klebsiella,ARO:3003922oqxA,ARO:3001140SHV-86,ARO:3000190tetO,ARO:3000216acrB,ARO:3000815mgrA,ARO:3003905ANT(4')-Ib,ARO:3000617mecA,ARO:3002865dfrC,ARO:3000316mphA,ARO:3002405OXY-2-10,ARO:3003774Streptococcus
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.399967655065018,5.9904759486842325,6.796765775323568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7857492016693686,0.0,0.0,0.0,0.0,0.0,0.0,0.7790142085122026,5.526789992823058,4.351491307547218,2.877285961533243,9.358245731153863,0.0,0.0,0.0
0.0,0.0,0.0,2.0064276981532063,4.108193805429249,0.0,0.0,2.0064276981532063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.161408413185699,0.0,3.650201431701293,2.7256860211346376,3.2818941619251736,0.0,0.0,0.0,0.0,6.735431956787728,0.0,0.0,4.976210715781557,0.8345695854042368,0.0,0.0,0.0,4.761253624625809,0.0,0.0,0.0,0.0,0.0,3.0595768758207633,0.0,0.0,0.7433228222554451,0.0,0.0,2.021757149241599,0.0,1.147175379228876,1.666734967215502,1.798657693358855,0.0,1.6203842465752365,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566374603316624,0.0,1.2527202039331151,0.0,2.845701213376361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.781319381762271,4.625627710866719,5.311138186272111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492567605859496,11.484339836535012,0.0,0.0,0.0,0.0,0.0,0.0,0.7918912534653516,3.0325952914926164,0.0,0.0,2.8375257367653246,0.0,0.0,1.801442203895664,0.0,0.0,0.5462414198007399,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.544585486681295,0.0,4.340541411269177,4.544585486681295,0.0,0.0,6.473396778263482,3.0285093094370104,4.068990404806346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.188215640566551,0.0,0.0,0.0,0.0,0.0,0.12274145005561875,2.001066556042734,0.0,0.0,4.5147095528696415,0.0,0.0,2.1736810553501638,0.0,0.0,0.0,0.0,0.0,0.0,1.5692253937336131
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3160088627479407,0.0,13.200654743013695,6.3608519145999125,7.549868233719144,0.0,12.176265680641944,5.460831490086769,0.0,0.0,0.0,0.0,0.0,2.3747254818557204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.390125320451155,0.0,3.60785334735932,12.158465191463275,0.0,0.0,0.0
7.778788339926196,7.677079678673347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002760786591491,0.0,0.0,0.5155129135421689,0.0,0.0,0.0,0.0,4.212189509593256,9.515452429038028,15.969969294574778,0.0,6.6870402225425085,0.0,0.0,0.0,0.0,0.0,1.6699984505433079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.926868849740164,0.0,0.0,0.0,1.2537783205902129,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187971574490585,3.1064123996831934,3.904248608312661,0.0,11.049018899466677,4.755720381772579,0.0,11.074960223003893,17.935831308386714,0.0,7.174162082546091,0.0,0.0,0.0,0.0,0.0,1.6120156194691515,0.0,0.0,0.0,0.20520466266613,0.0,0.0,0.0,0.0,0.0,0.33377820911787703,3.07395651562032,0.0,0.8410159599820524,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.573833196911607,0.0,0.0,4.573833196911607,0.0,0.0,10.732905005420259,5.621117113433328,6.08910871459083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.129736970985004,0.0,0.0,0.0,0.0,0.0,0.0,1.3839239434781194,0.0,0.0,4.582379996748023,0.0,0.0,2.034472151554639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.4095780840201586,0.0,0.0,0.0,0.0,0.4655014693191546,2.3767291485444653,0.0,0.0,0.401609110785153,0.0,0.0,1.6139853752765267,0.0,0.0,1.6139853752765267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5476595234026789,0.0,0.0,1.6841180015473407,0.0,0.0,5.665991388646929,6.34591035528456,6.048253013257715,1.6699764092854106,0.0,0.0,0.0,0.0,4.366263964769807,6.1819091312714205,6.800100044398563,0.0,0.0,0.0,1.9704825940838424,0.0,0.0,0.0,0.0,4.607067309334669,3.1199674733470295,0.0
0.0,0.0,0.0,0.0,6.117510264217852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4316693023118081,0.0,0.0,1.4316693023118081,0.4434173853235071,0.0,7.679230256253951,3.175505082814569,3.8248708922956687,0.0,0.0,0.0,0.0,9.928521187410064,0.0,0.0,7.027112023652526,0.0,3.72285320890598,0.0,1.440219667530751,0.0,0.8702531436277343,0.0,0.0,0.0,0.17293703980916797,1.5089756144055781,0.0,0.0,1.6856714791015948,0.0,0.0,2.872945932485141,0.0,0.38735944844043824,1.5751062440451202,3.5173110019759233,0.0,0.0,0.0
