"from","to"
"Bifidobacterium.longum.abundance","ARO.3003730Bifidobacteria"
"Klebsiella.michiganensis.abundance","Klebsiella.sp..M5al.abundance"
"Klebsiella.michiganensis.abundance","ARO.3000804MexF"
"Klebsiella.sp..M5al.abundance","Klebsiella.michiganensis.abundance"
"Klebsiella.sp..M5al.abundance","ARO.3002414OXY.6.2"
"ARO.3000804MexF","Klebsiella.michiganensis.abundance"
"ARO.3002414OXY.6.2","Klebsiella.sp..M5al.abundance"
"ARO.3003730Bifidobacteria","Bifidobacterium.longum.abundance"
