"value.var","component","name","pvalue","mean_TC","mean_Amp.Mero","diff"
0.373221627210345,1,"ARO.3003923oqxB",0.000321751084944547,2.51042084155849,0.751242658946986,1.75917818261151
0.358652532894975,1,"ARO.3003209FosA5",0.000321751084944547,9.48259988541459,1.74473587051932,7.73786401489527
0.295517575302369,1,"ARO.3004041Klebsiella",0.000881070121699563,5.08564788686823,1.55499354897115,3.53065433789708
0.288465957426625,1,"ARO.3004583Klebsiella",0.000504371294390642,9.98885177460196,1.83098032408797,8.15787145051399
0.258375303820902,1,"ARO.3004588Klebsiella",0.00153586809829898,5.26815419701944,1.70638989234833,3.56176430467111
0.234221724995956,1,"ARO.3004122Klebsiella",0.001656152833878,4.58619354614914,1.28368426100971,3.30250928513944
0.207485574934824,1,"ARO.3002434OKP.B.1",0.00284158205056843,2.37216379612513,0.0170546580803126,2.35510913804481
0.206655580397214,1,"ARO.3002450OKP.B.17",0.00284158205056843,2.67753368248,0.0170546580803126,2.66047902439969
0.20391873898385,1,"ARO.3002441OKP.B.8",0.00284158205056843,2.07871647650579,0.0239582860351281,2.05475819047066
0.196117233530462,1,"ARO.3002435OKP.B.2",0.001656152833878,1.76498121101071,0,1.76498121101071
0.192699845088368,1,"ARO.3002436OKP.B.3",0.00284158205056843,1.54978674340748,0.00917576323968024,1.5406109801678
0.191025728476126,1,"ARO.3002437OKP.B.4",0.00284158205056843,2.14096913636422,0.0406707811006736,2.10029835526355
0.189647983212908,1,"ARO.3002440OKP.B.7",0.001656152833878,1.42792545721651,0,1.42792545721651
0.189449063494147,1,"ARO.3002438OKP.B.5",0.001656152833878,1.56914048845077,0,1.56914048845077
0.172918492331945,1,"ARO.3002439OKP.B.6",0.00284158205056843,2.01778226444397,0.0452891138807588,1.97249315056321
0.171110727802245,1,"ARO.3003922oqxA",0.00336106473741841,4.37891705281427,1.07101149161302,3.30790556120125
0.122142253103153,1,"ARO.3002442OKP.B.9",0.00660708429226224,1.10917124432205,0.00917576323968024,1.09999548108237
0.0746596170916725,1,"ARO.3002453OKP.B.20",0.0168691699872566,0.702109489839983,0.00917576323968024,0.692933726600303
0.0743080598027689,1,"ARO.3004580Klebsiella",0.00284158205056843,6.74223819745462,1.56475821984873,5.17747997760589
0.03711858444647,1,"ARO.3002985arnA",0.00603554089474616,1.29203064772261,0.339454628238855,0.952576019483753
0.0272522568554703,1,"ARO.3000676H.NS",0.0287992492194636,10.5346583105061,5.72021561063309,4.81444269987305
0.111189920054291,2,"ARO.3001133SHV.79",0.0287992492194636,0.543329714088154,0,0.543329714088154
0.0538890855721913,2,"ARO.3000216acrB",0.0326357355828451,2.24039183550424,1.33821814843083,0.902173687073419
0.053258147941602,2,"ARO.3000676H.NS",0.0287992492194636,10.5346583105061,5.72021561063309,4.81444269987305
0.0485273951323319,2,"ARO.3000793mdtB",0.0312662643281355,2.04012141552026,1.25018247937155,0.789938936148711
0.0461802326545748,2,"ARO.3000794mdtC",0.032382106624971,2.02555961890471,1.15754537995808,0.868014238946627
