value.var,name,pvalue
0.005015613,ARO.3001135SHV.81,0.181423491
0.045362686,ARO.3001173SHV.126,0.181423491
0.041363075,ARO.3001189SHV.150,0.181423491
0.020182057,ARO.3001191SHV.152,0.181423491
0.043217443,ARO.3001192SHV.153,0.181423491
0.033413043,ARO.3001193SHV.154,0.181423491
0.046159332,ARO.3001344SHV.143,0.181423491
0.037078789,ARO.3001352SHV.168,0.181423491
0.238494221,ARO.3002556AAC.6...Ii,0.181423491
0.017987035,ARO.3001141SHV.89,0.187516639
0.026622327,ARO.3003154SHV.187,0.187516639
0.012380717,ARO.3001361SHV.178,0.191451661
0.127637409,ARO.3002819msrC,0.191451661
0.17045491,ARO.3002400OXY.2.5,0.19517197
0.196810797,ARO.3002405OXY.2.10,0.19517197
0.057690661,ARO.3001328Escherichia,0.204199621
0.041988718,ARO.3001214mdtM,0.235090204
0.108702899,ARO.3001301RlmA.II.,0.30907806
0.141575411,ARO.3004442tet.W.N.W.,0.30907806
0.005817225,ARO.3001105SHV.48,0.316820926
-0.130359142,ARO.3001158SHV.109,0.329584926
0.036269236,ARO.3000792mdtA,0.35111963
0.182582063,ARO.3000412sul2,0.35856277
0.031341702,ARO.3001091SHV.33,0.35856277
0.009742409,ARO.3001152SHV.103,0.35856277
0.014067735,ARO.3001169SHV.122,0.35856277
0.006381268,ARO.3001199SHV.160,0.35856277
0.001266288,ARO.3001202SHV.163,0.35856277
0.010086724,ARO.3001337SHV.99,0.35856277
0.150197584,ARO.3002397OXY.2.2,0.35856277
0.180193431,ARO.3002401OXY.2.6,0.35856277
0.175602678,ARO.3002402OXY.2.7,0.35856277
0.182600388,ARO.3002404OXY.2.9,0.35856277
0.004463209,ARO.3003950msbA,0.35856277
-0.006679914,ARO.3000894TEM.24,0.370983959
0.028740012,ARO.3000952TEM.85,0.461303149
-0.016308591,ARO.3002867dfrF,0.509235841
-0.016308591,ARO.3003835cdeA,0.509235841
0.166851366,ARO.3002398OXY.2.3,0.516967135
0.161337063,ARO.3002399OXY.2.4,0.535560424
0.038383288,ARO.3004290Escherichia.1,0.558777795
0.014762572,ARO.3001096SHV.38,0.567457571
0.005044085,ARO.3001345SHV.144,0.567457571
0.03388109,ARO.3004290Escherichia,0.567457571
0.055489622,ARO.3003576eptA,0.57046611
0.011737553,ARO.3003578pmrF,0.642368971
-0.021660824,ARO.3004144AxyY,0.661501571
0.019494406,ARO.3000795mdtE,0.668464028
0.020392991,ARO.3000833evgS,0.681580082
-0.09135456,ARO.3001179SHV.135,0.760388763
0.010457106,ARO.3003841kdpE,0.76852076
0.088636207,ARO.3000823ramA,0.785349788
0.006440913,ARO.3001216mdtH,0.797581786
0.109651682,ARO.3000195tetB.P.,0.815436981
0.138606004,ARO.3000616mel,0.815436981
0.153042251,ARO.3004611Escherichia,0.833163654
0.029100063,ARO.3001329mdtG,0.861924803
0.002811939,ARO.3003548mdtN,0.861924803
0.015120461,ARO.3003550mdtP,0.861924803
0.02979101,ARO.3000206emrK,0.867995247
0.038958882,ARO.3000796mdtF,0.882373792
0.031566899,ARO.3000263marA,0.887144309
0.001321866,ARO.3000656acrS,0.887144309
0.028675452,ARO.3000499acrE,0.983423983
0.00308308,ARO.3000316mphA,0.993660865
0.070486836,ARO.3000829baeS,1
